buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,offiNm,sggCd,sggNm,slerGbn,umdNm,지역구명
 , , , ,"46,000",16,1,2021, , ,48.61,19,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구
2015, , , ,"21,000",20,1,2021, , ,28.92,8,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"24,000",20,1,2021, , ,31.33,16,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"20,200",20,1,2021, , ,30.28,8,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2014, , , ,"9,700",21,1,2021, , ,16.803,5,1349,광교 더로프트,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"82,000",9,1,2021, , ,84.83,26,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구
2014, , , ,"12,900",2,1,2021, , ,24.97,10,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"15,800",16,1,2021, , ,22.83,4,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
 , , , ,"42,300",16,1,2021, , ,48.61,7,1019,광교 더샵 레이크파크,41117,수원시 영통구, ,하동,수원시 영통구
2015, , , ,"27,500",9,1,2021, , ,34.32,15,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"14,800",16,1,2021, , ,22.62,13,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"13,800",14,1,2021, , ,20.43,4,1351-6,광교유니코어,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"20,000",15,1,2021, , ,28.92,10,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2014, , , ,"14,000",15,1,2021, , ,24.97,5,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"13,900",19,1,2021, , ,22.62,6,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"25,800",7,1,2021, , ,34.06,15,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2014, , , ,"14,500",16,1,2021, , ,24.97,3,1352,에듀하임1309오피스텔,41117,수원시 영통구, ,이의동,수원시 영통구
 , , , ,"79,500",9,1,2021, , ,83.6622,42,604,광교 더샵,41117,수원시 영통구, ,원천동,수원시 영통구
2006, , , ,"29,000",11,1,2021, , ,90.9115,11,296-6,수원영통 아크로파크,41117,수원시 영통구, ,원천동,수원시 영통구
2018, , , ,"15,800",19,1,2021, , ,21.58,11,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"23,500",15,1,2021, , ,31.17,12,1338,광교센트럴푸르지오시티,41117,수원시 영통구, ,이의동,수원시 영통구
2018, , , ,"17,000",16,1,2021, , ,21.58,8,1336-1,광교엘포트아이파크,41117,수원시 영통구, ,이의동,수원시 영통구
2015, , , ,"75,000",16,1,2021, , ,84.68,9,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구
2015, , , ,"85,000",15,1,2021, , ,84.83,22,1014,광교 힐스테이트 레이크,41117,수원시 영통구, ,하동,수원시 영통구
