,dealAmount,deposit,전세가율,buildYear,excluUseAr,floor,본번,부번,offiNm,sggCd,sggNm.x,umdNm.x
426,19000,14500,76.31578947,2005,56.76,2,318,2,신동아파라디움오피스텔,41117,수원시 영통구,원천동
427,15500,18000,116.1290323,2005,56.76,6,318,2,신동아파라디움오피스텔,41117,수원시 영통구,원천동
428,20000,1000,5,2005,56.76,11,318,2,신동아파라디움오피스텔,41117,수원시 영통구,원천동
429,17875,14250,79.72027972,2005,58.42,10,285,2,SK HUB BLUE,41111,수원시 장안구,율전동
430,20875,1000,4.790419162,2005,58.42,11,285,2,SK HUB BLUE,41111,수원시 장안구,율전동
431,18638,17500,93.89419466,2005,58.42,12,285,2,SK HUB BLUE,41111,수원시 장안구,율전동
432,19500,6633.333333,34.01709402,2005,58.42,13,285,2,SK HUB BLUE,41111,수원시 장안구,율전동
433,19466.66667,7200,36.98630137,2005,58.42,14,285,2,SK HUB BLUE,41111,수원시 장안구,율전동
434,17500,9000,51.42857143,2005,58.42,15,285,2,SK HUB BLUE,41111,수원시 장안구,율전동
435,19716.66667,6666.666667,33.8123415,2005,58.42,16,285,2,SK HUB BLUE,41111,수원시 장안구,율전동
436,18800,13400,71.27659574,2005,58.42,18,285,2,SK HUB BLUE,41111,수원시 장안구,율전동
437,16500,500,3.03030303,2005,61.38,4,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
438,18000,3000,16.66666667,2005,61.38,15,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
439,17900,15750,87.98882682,2005,61.38,17,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
440,16700,2000,11.9760479,2005,61.71,10,318,2,신동아파라디움오피스텔,41117,수원시 영통구,원천동
441,22000,1500,6.818181818,2005,65.62,11,1046,13,에스팝타워,41115,수원시 팔달구,인계동
442,19250,1000,5.194805195,2005,71.12,13,285,2,SK HUB BLUE,41111,수원시 장안구,율전동
443,16750,18166.66667,108.4577114,2005,72.45,3,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
444,19500,10200,52.30769231,2005,72.45,4,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
445,18733.33333,11433.33333,61.03202847,2005,72.45,5,1134,4,트윈파크에이동,41115,수원시 팔달구,인계동
